INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
199[.]68[.]196[.]125,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"According to a trusted third party, between November 24, and November 30, 2016, Volgmer malware was observed communicating from this IP address over Port 8002."
103[.]16[.]223[.]35,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
113[.]28[.]244[.]194,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
116[.]48[.]145[.]179,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
186[.]116[.]9[.]20,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
186[.]149[.]198[.]172,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
195[.]28[.]91[.]232,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
195[.]97[.]97[.]148,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
199[.]15[.]234[.]120,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
200[.]42[.]69[.]133,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
203[.]131[.]222[.]99,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
210[.]187[.]87[.]181,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
83[.]231[.]204[.]157,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
84[.]232[.]224[.]218,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
89[.]190[.]188[.]42,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,DHS identified this hardcoded IP address during analysis of the Volgmer malware sample.
109[.]68[.]120[.]179,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Armenia."
85[.]132[.]123[.]50,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Azerbaijan."
80[.]95[.]219[.]72,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Bahrain."
88[.]201[.]64[.]185,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Bahrain."
103[.]10[.]55[.]35,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Bangladesh."
45[.]124[.]169[.]36,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Bangladesh."
222[.]44[.]80[.]138,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to China."
61[.]153[.]146[.]207,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to China."
41[.]131[.]164[.]156,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Egypt."
82[.]129[.]240[.]148,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Egypt."
82[.]201[.]131[.]124,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Egypt."
31[.]146[.]82[.]22,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to Georgia."
103[.]27[.]164[.]10,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to India."
103[.]27[.]164[.]42,IPV4ADDR,,IP_WATCHLIST,C2,,TLP:WHITE,"USG analysis identified this IP address as HIDDEN COBRA infrastructure, which is a likely compromised host. According to analysis, this IP resolved to India."
